Ranking,Country Name,GPD,geounit,iso3
1,United States,18569100,UnitedStates,USA
13,Australia,1258978,Australia,AUS
44,Chile,247025,Chile,CHL
53,New Zealand,181991,NewZealand,NZL
111,Papua New Guinea,20003,PapuaNewGuinea,PNG
152,Fiji,4640,Fiji,FJI
175,Solomon Islands,1184,SolomonIslands,SLB
180,Samoa,786,Samoa,WSM
182,Vanuatu,773,Vanuatu,VUT
185,Tonga,403,Tonga,TON
187,Federated States of Micronesia,322,FederatedStatesofMicronesia,FSM
188,Palau,293,Palau,PLW
189,Marshall Islands,183,MarshallIslands,MHL
190,Kiribati,167,Kiribati,KIR
191,Tuvalu,34,Tuvalu,TUV
